"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 30 11:26:38 UTC 2026","Mon Mar 30 11:26:44 UTC 2026","6211","safari","MoreValidations.spec.ts","","","","Screenshot & Visual comparision",""
"passed","Mon Mar 30 11:24:46 UTC 2026","Mon Mar 30 11:24:50 UTC 2026","3654","chromium","Calendar.spec.ts","","","","Calendar validations",""
"passed","Mon Mar 30 11:26:17 UTC 2026","Mon Mar 30 11:26:26 UTC 2026","9399","chromium","WebAPIPart2.spec.ts","","","","@API Test case 2",""
"passed","Mon Mar 30 11:28:00 UTC 2026","Mon Mar 30 11:28:09 UTC 2026","8731","firefox","ClientAppPO.spec.ts","","","","Client App login",""
"broken","Mon Mar 30 11:25:38 UTC 2026","Mon Mar 30 11:26:16 UTC 2026","37673","chromium","WebAPIPart2.spec.ts","","","","@QA Client App login",""
"passed","Mon Mar 30 11:26:31 UTC 2026","Mon Mar 30 11:26:38 UTC 2026","7237","safari","MoreValidations.spec.ts","","","","@Web Popup validations",""
"passed","Mon Mar 30 11:26:15 UTC 2026","Mon Mar 30 11:26:27 UTC 2026","11554","safari","ClientApp.spec.ts","","","","@Webst Client App login",""
"failed","Mon Mar 30 11:26:56 UTC 2026","Mon Mar 30 11:27:00 UTC 2026","3947","safari","upload-download.spec.ts","","","","Upload download excel validation",""
"failed","Mon Mar 30 11:28:24 UTC 2026","Mon Mar 30 11:28:25 UTC 2026","1294","firefox","WebAPIPart1.spec.ts","","","","@API Place the order",""
"passed","Mon Mar 30 11:28:46 UTC 2026","Mon Mar 30 11:28:50 UTC 2026","3892","firefox","UIBasicstest.spec.ts","","","","@Web UI Controls",""
"failed","Mon Mar 30 11:28:10 UTC 2026","Mon Mar 30 11:28:12 UTC 2026","2082","firefox","MoreValidations.spec.ts","","","","visual",""
"failed","Mon Mar 30 11:26:47 UTC 2026","Mon Mar 30 11:26:48 UTC 2026","1141","safari","NetworkTest.spec.ts","","","","@SP Place the order",""
